carat,cut,color,clarity,depth,table,z,x,y,price
0,0,0,0,0.23,0,0,0,3.95,55.0,326
1,1,1,1,0.21,1,0,1,3.89,61.0,326
2,2,2,2,0.23,2,0,2,4.05,65.0,327
3,3,3,3,0.29,1,1,3,4.2,58.0,334
4,4,4,4,0.31,2,2,0,4.34,58.0,335
5,5,5,5,0.24,3,2,4,3.94,57.0,336
6,6,6,6,0.24,3,1,5,3.95,57.0,336
7,7,7,7,0.26,3,3,1,4.07,55.0,337
8,8,8,8,0.22,4,0,3,3.87,61.0,337
9,9,9,9,0.23,3,3,2,4.0,61.0,338
10,10,10,10,0.3,2,2,1,4.25,55.0,339
11,11,11,11,0.23,0,2,2,3.93,56.0,340
12,12,12,12,0.22,1,4,1,3.88,61.0,342
13,13,13,13,0.31,0,2,0,4.35,54.0,344
14,14,14,14,0.2,1,0,0,3.79,62.0,345
15,15,15,15,0.32,1,0,6,4.38,58.0,345
16,16,16,16,0.3,0,1,0,4.31,54.0,348
17,17,17,17,0.3,2,2,1,4.23,54.0,351
18,18,18,18,0.3,2,2,1,4.23,56.0,351
19,19,19,19,0.3,3,2,1,4.21,59.0,351
20,20,20,20,0.3,2,1,0,4.26,56.0,351
21,21,21,21,0.23,3,0,3,3.85,55.0,352
22,22,22,22,0.23,3,3,2,3.94,57.0,353
23,23,23,23,0.31,3,2,1,4.39,62.0,353
24,24,24,24,0.31,3,2,1,4.44,62.0,353
25,25,25,25,0.23,3,5,4,3.97,58.0,354
26,26,26,26,0.24,1,1,2,3.97,57.0,355
27,27,27,27,0.3,3,2,3,4.28,57.0,357
28,28,28,28,0.23,3,6,3,3.96,61.0,357
29,29,29,29,0.23,3,4,2,3.96,57.0,357
30,30,30,30,0.23,3,4,2,4.0,57.0,402
31,31,31,31,0.23,3,4,2,4.04,57.0,402
32,32,32,32,0.23,3,0,2,3.97,59.0,402
33,33,33,33,0.23,3,0,2,4.01,58.0,402
34,34,34,34,0.23,3,6,2,3.92,58.0,402
35,35,35,35,0.23,2,4,2,4.06,59.0,402
36,36,36,36,0.23,2,0,2,3.83,59.0,402
37,37,37,37,0.31,2,3,1,4.29,54.0,402
38,38,38,38,0.26,3,6,3,4.13,59.0,403
39,39,39,39,0.33,0,1,0,4.49,55.0,403
40,40,40,40,0.33,0,1,0,4.49,56.0,403
